Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
2870,29/04/2015,Dazo,Mobile Food Ordering app,,Bangalore,"Sumit Jain, Aprameya Radhakrishna, Alok Goel, Rajan Anandan, Amit Agrawal, Vinay Goel, Gaurav Munjal, Ashish Dev Kapur",Seed Funding,,
2871,29/04/2015,Tradelab,Financial Markets Software,,Bangalore,Rainmatter,Seed Funding,"4,00,000",
2872,29/04/2015,PiQube,Hiring Analytics platform,,Chennai,The HR Fund,Seed Funding,"5,00,000",
2873,29/04/2015,Travel Triangle,Online Travel Marketplace,,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,"80,00,000",Series B
2874,02/03/2015,TrulyMadly.com,,,,"Helion Venture Partners, Kae Capital",Private Equity,"55,00,000",Series A
2875,02/03/2015,InstaLively,,,,Group of Angel Investors,Seed Funding,"1,20,000",
2876,03/03/2015,Vserv,,,,"Maverick Capital, IDG Ventures India",Private Equity,"1,50,00,000",
2877,03/03/2015,Intruo.com,,,,"Ashutosh Lawania, Alok Goel & others",Seed Funding,,
2878,05/03/2015,Niffler,,,,SAIF Partners,Seed Funding,"10,00,000",
2879,05/03/2015,CustomFurnish.com,,,,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu & SIDBI",Private Equity,"25,00,000",
2880,06/03/2015,MapMyGenome,,,,Rajan Anandan & other angel investors,Private Equity,"12,00,000",
2881,09/03/2015,Crowdfire (formerly Justunfollow),,,,Kalaari Capital,Private Equity,"25,00,000",
2882,09/03/2015,Bite Club,,,,"Powai Lake Ventures, Aneesh Reddy, Ashish Kashyap, Alok Mittal",Seed Funding,"5,00,000",
2883,10/03/2015,Localbanya,,,,Shrem Strategies,Private Equity,,Series B
2884,11/03/2015,Appedo,,,,Undisclosed Investors,Seed Funding,"10,00,000",
2885,11/03/2015,Fitraq.com,,,,Tarun Arora,Seed Funding,"1,50,000",
2886,11/03/2015,ChargeBee,,,,"Tiger Global, Accel Partners",Private Equity,"50,00,000",Series B
2887,11/03/2015,Groupon India,,,,Sequoia Capital,Private Equity,"2,00,00,000",
2888,12/03/2015,Process 9,,,,"IAN Ventures, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, Ajai Chowdhry",Seed Funding,,
2889,12/03/2015,MoonFrog Labs,,,,"Tiger Global, Sequoia Capital.",Private Equity,"1,50,00,000",Series A
2890,13/03/2015,Foodpanda,,,,Rocket Internet AG & others,Private Equity,"11,00,00,000",Series C
2891,13/03/2015,Paytm,,,,Ratan Tata,Private Equity,,More details
2892,13/03/2015,DiabetOmics,,,,"VentureEast,\\xc2\\xa0 Varaprasad Reddy",Private Equity,"50,00,000",Series C
2893,13/03/2015,Qyk,,,,"Powai Lake Ventures, Zishan Hayath, Abhishek Goyal, Sahil Barua",Seed Funding,,
2894,14/03/2015,Daily Rounds,,,,"Kae Capital, GSF, Teruhide Sato",Seed Funding,"5,00,000",
2895,14/03/2015,Orobind,,,,"Zishaan Hayath, Lalit Mangal, Harpreet Singh Grover",Seed Funding,"2,00,000",
2896,14/03/2015,Routofy,,,,"Kunal Bahl, Rohit Bansal",Seed Funding,,
2897,16/03/2015,Digital Gorkha,,,,Ramesh kavediya,Seed Funding,"1,66,000",
2898,16/03/2015,NestAway,,,,"IDG Ventures, Naveen Tewari",Seed Funding,"13,00,000",
2899,16/03/2015,The Better India,,,,I-cube-N,Seed Funding,"1,66,000",
2900,16/03/2015,Meru Cabs,,,,Value Fund Advisors,Private Equity,"5,00,00,000",
2901,17/03/2015,GolfLAN,,,,YourNest Angel Fund,Seed Funding,,
2902,18/03/2015,Drivestream,,,,Wipro,Private Equity,"50,00,000",
2903,18/03/2015,wWhere,,,,Group of Angel Investors,Seed Funding,"2,00,000",
2904,18/03/2015,GoJavas,,,,Snapdeal,Private Equity,,"Minority stake, Strategic"
2905,19/03/2015,Tripoto,,,,"IDG Ventures, Outbox Ventures",Private Equity,"20,00,000",Pre-Series A
2906,19/03/2015,Graphic India,,,,"CA Media LP,\\xc2\\xa0 Start Media.",Seed Funding,"28,00,000",
2907,20/03/2015,Harness Handitouch,,,,Armat Group,Private Equity,,Series A
2908,20/03/2015,Lets Corp,,,,Wu Chay Chin,Seed Funding,"30,00,000",
2909,20/03/2015,CollateBox,,,,LetsVenture,Seed Funding,"1,80,000",
2910,20/03/2015,Mahindra First Choice,,,,Valiant Capital,Private Equity,"1,50,00,000",Series B
2911,21/03/2015,Round One,,,,"HT Media, Arun Duggal",Seed Funding,,
2912,23/03/2015,RazorPay,,,,Y Combinator,Seed Funding,"1,20,000",
2913,23/03/2015,Mosambee,,,,RVCF and SIDBI,Private Equity,,Series B
2914,24/03/2015,Furlenco,,,,LightBox Ventures,Private Equity,"60,00,000",Series A
2915,24/03/2015,Cubito,,,,Sol Primero,Seed Funding,"1,60,000",
2916,25/03/2015,Teabox,,,,"JAFCO Asia, Keystone Group, Dragoneer Investment, Accel Partners",Private Equity,"60,00,000",Series A
2917,25/03/2015,Artoo,,,,"Accion Venture Labs, Rianta Capital",Private Equity,"5,00,000",Series A
2918,25/03/2015,Fxkart.com,,,,"Dr Mushtaq Shah, Dr Faraz Naqvi",Seed Funding,"20,00,000",
2919,25/03/2015,Rozgar Mela,,,,"Impact Investment Holding, Upaya Social Ventures",Seed Funding,,
2920,25/03/2015,OYO Rooms,,,,"Greenoaks capital, Sequoia Capital, LightSpeed Ventures",Private Equity,"2,50,00,000",Series A
2921,26/03/2015,Roposo.com,,,,"Tiger Global Management, Indian Quotient, Binny Bansal",Private Equity,"50,00,000",Series A
2922,26/03/2015,Teewe,,,,"Sequoia Capital, India Quotient",Seed Funding,"17,50,000",
2923,26/03/2015,ePoise,,,,Undisclosed,Seed Funding,,
2924,27/03/2015,Urjas,,,,Solidarity Venture Capital & others,Seed Funding,"1,00,000",
2925,27/03/2015,Chargein,,,,Pittie Group,Seed Funding,"1,00,000",
2926,28/03/2015,Yogurt Labs,,,,"Nick Adams, Kiran Bhat, Family Pot Investments LLP",Seed Funding,"1,15,000",
2927,28/03/2015,LimeRoad.com,,,,"Tiger Global, Matrix Partners, Lightspeed Venture Partners",Private Equity,"3,00,00,000",
2928,28/03/2015,Team Indus,,,,"Nandan Nilekani, Rajiv Mody, Ajai Chowdhary",Private Equity,"15,00,000",Pre-Series A
2929,30/03/2015,Arohan Financial Services,,,,Tano Capital,Private Equity,"1,00,00,000",
2930,30/03/2015,BillDesk,,,,TA Associates,Private Equity,"7,50,00,000",Incremental Capital
2931,31/03/2015,Triphobo,,,,"Mayfield Ventures, Kalaari Capital",Private Equity,"30,00,000",Series B (More Here)
2932,31/03/2015,Aryaka,,,,"Trinity Ventures, InterWest Partners, Mohr Davidow Ventures, Presidio Ventures",Private Equity,"1,60,00,000",Series D
2933,31/03/2015,Appsdaily,,,,"Zodius Capital, Ru-Net, Kalaari Capital,\\xc2\\xa0 Qualcomm Ventures",Private Equity,"1,60,00,000",Series C
2934,02/02/2015,Faaya,,,,Group of Angel Investors,Seed\\nFunding,"16,600",At the 10 minute million event
2935,02/02/2015,InstaBounce,,,,Group of Angel Investors,Seed\\nFunding,"16,600",At the 10 minute million event
2936,02/02/2015,Chloroplast Foods,,,,Group of Angel Investors,Seed\\nFunding,"16,600",At the 10 minute million event
2937,02/02/2015,Dealwithus,,,,Group of Angel Investors,Seed\\nFunding,"16,600",At the 10 minute million event
2938,02/02/2015,CleverSharks,,,,Group of Angel Investors,Seed\\nFunding,"16,600",At the 10 minute million event
2939,02/02/2015,Leaf,,,,Group of Angel Investors,Seed\\nFunding,"16,600",At the 10 minute million event
2940,02/02/2015,SmartPocket,,,,"Sol Primero, Rajiv Mehta",Seed\\nFunding,"2,50,000",For mobile app
2941,02/02/2015,Yumist,,,,Orios Venture Partner,Private Equity,"10,00,000",
2942,02/02/2015,NowFloats,,,,Omidyar Network,Private Equity,,Series A
2943,02/02/2015,FirstCry,,,,Valiant Capital Partners,Private Equity,"2,60,00,000",Series D
2944,02/02/2015,HolaChef,,,,India Quotient,Seed\\nFunding,"3,25,000",
2945,03/02/2015,Frsh.co.in,,,,"India Quotient, Kae Capital",Seed\\nFunding,"5,18,000",
2946,03/02/2015,Manthan,,,,"Temasek, Norwest Venture Partners",Private Equity,"6,00,00,000",Series D
2947,05/02/2015,Kobster.com,,,,Splice Advisors,Seed\\nFunding,,
2948,05/02/2015,Culture Machine,,,,"Tiger Global, Times Internet, Zodius Capital",Private Equity,"1,80,00,000",Series B
2949,05/02/2015,Paytm,,,,Ant Financial Services (Alipay),Private Equity,,Strategic Investment (25% stake)
2950,05/02/2015,Aisle.co,,,,"Anand Vijay, Shashank Mehrotra & Others",Seed\\nFunding,"1,00,000",
2951,06/02/2015,FreeCharge,,,,"Valiant Capital, Tybourne Capital, Sequoia Capital, RuNet and Sofina",Private Equity,"8,00,00,000",Series C
2952,06/02/2015,NewsHunt,,,,"Falcon Edge Capital, Matrix Partners India, Sequoia Capital India and Omidyar Network",Private Equity,"4,00,00,000",Series C
2953,09/02/2015,MyNoticePeriod,,,,IDG Ventures,Private Equity,"30,00,000",Series A
2954,09/02/2015,CarDekho.com,,,,Ratan Tata,Private Equity,,
